5,67,88,91
67,11,42,27
28,65,35,55
97,24,1,51
71,26,12,65
92,60,57,26
72,66,72,31
46,74,47,80
46,63,94,36
37,70,55,82
15,88,90,53
53,13,26,83
50,4,55,87
75,78,54,47
78,11,58,14
41,41,15,28
83,91,47,85
89,2,90,17
11,40,84,92
78,65,61,1
62,65,15,37
98,15,4,21
26,17,84,4
86,29,59,72
19,6,29,81
91,98,50,96
20,5,43,97
1,98,37,58
12,11,12,5
92,25,85,96
80,10,59,23
16,4,4,5
21,5,66,34
5,8,26,73
75,78,20,57
54,30,53,86
6,13,83,33
88,42,29,40
31,48,1,60
75,38,14,17
2,98,33,57
83,6,40,24
83,69,79,71
62,66,100,78
75,41,87,11
51,86,41,8
66,86,99,35
13,59,62,11
64,35,74,33
75,85,66,64
29,36,57,100
40,3,82,52
83,55,3,9
83,39,27,33
95,47,65,37
51,16,93,40
70,22,14,17
82,28,40,95
4,22,53,29
68,35,42,39
48,45,1,56
7,33,33,53
98,87,88,100
75,39,77,100
56,39,18,15
8,59,38,77
100,56,3,69
12,16,88,33
74,15,25,35
22,48,48,43
32,9,29,26
56,66,73,95
9,88,67,26
97,76,94,1
17,58,48,95
59,47,12,76
20,84,96,42
15,71,28,59
66,57,34,33
84,1,91,24
4,58,20,25
47,41,93,78
31,97,75,91
44,92,67,47
34,63,69,64
24,72,28,90
85,20,46,31
80,13,15,16
76,3,31,11
64,55,61,99
96,43,69,93
74,95,45,27
37,79,30,86
44,43,2,69
65,74,66,1
99,35,24,39
47,50,70,87
50,21,10,25
89,39,69,100
34,32,77,62
49,75,9,44
5,95,12,37
81,79,49,4
5,80,35,30
30,71,10,5
53,27,37,86
36,64,82,9
35,20,57,40
83,22,5,16
27,9,38,32
13,23,26,12
92,67,17,35
20,60,17,91
74,50,18,76
45,12,50,96
33,1,60,93
26,54,54,40
75,36,72,50
2,100,48,35
16,1,62,12
71,58,27,65
47,87,100,61
18,52,71,34
13,40,78,2
87,32,65,81
80,83,67,99
58,7,98,12
87,58,22,19
89,17,2,40
89,34,48,5
33,8,25,62
45,71,75,66
85,11,3,64
23,70,50,55
45,2,43,40
38,84,72,42
92,30,93,68
43,72,18,66
7,58,57,95
32,89,33,6
8,41,20,42
59,17,53,84
56,88,85,72
77,80,63,6
44,38,27,76
41,83,94,94
99,82,17,68
59,35,11,27
50,79,64,22
50,80,31,73
75,100,7,52
35,16,38,90
54,36,88,92
42,25,5,31
20,59,59,79
78,36,61,16
14,2,88,91
98,50,63,32
82,96,98,79
65,76,16,85
55,2,90,56
76,17,10,62
100,70,28,49
79,55,90,63
78,75,28,80
5,73,4,50
30,52,51,78
86,44,2,80
42,65,33,63
56,19,84,12
83,50,33,75
82,25,55,32
94,77,50,47
64,91,27,81
70,31,4,78
21,93,84,10
26,47,64,88
60,64,24,72
49,47,99,14
42,62,59,91
29,49,5,84
26,90,19,89
31,33,41,31
51,30,31,33
96,7,14,8
37,62,75,24
73,57,65,51
55,71,16,88
37,18,66,70
48,67,67,3
17,51,22,28
30,18,97,76
52,37,19,42
54,55,60,25
86,18,6,55
29,95,79,68
94,45,28,88
67,49,37,84
80,18,22,18
75,78,83,75
75,45,4,54
42,61,50,60
80,58,86,55
95,52,99,23
1,74,63,37
95,9,24,3
72,49,45,85
65,46,2,43
42,21,69,38
60,16,38,38
46,8,90,66
89,96,89,78
33,45,8,91
50,73,97,82
70,90,45,35
79,47,39,14
4,98,58,73
6,41,78,35
86,1,56,2
17,53,36,89
72,70,83,65
34,63,7,92
90,15,8,27
95,47,14,25
67,35,31,96
50,50,68,55
23,41,89,89
97,35,31,33
79,50,61,53
84,23,17,49
22,12,52,84
13,8,83,38
11,77,59,48
60,87,60,75
16,10,77,84
68,39,30,66
65,78,46,74
9,83,21,100
7,59,86,27
45,69,15,2
36,40,3,6
19,8,83,49
25,56,29,7
46,82,8,100
8,3,80,84
21,83,64,79
48,65,99,42
66,17,64,91
93,49,75,53
43,38,37,72
44,90,67,63
31,61,3,42
54,32,59,16
31,98,32,33
8,97,16,86
63,29,68,16
30,72,41,32
57,95,62,63
66,84,71,72
44,50,55,18
85,23,69,9
87,98,27,26
5,99,36,81
2,61,55,59
98,20,21,5
38,21,84,44
9,19,81,70
44,83,17,72
64,43,33,75
28,7,13,62
19,53,66,61
92,66,8,74
98,26,42,39
37,83,25,13
73,74,77,4
65,2,7,21
6,51,2,6
47,30,97,64
23,85,38,70
27,99,89,34
35,66,77,2
43,40,3,57
88,99,62,94
31,23,81,6
56,80,46,18
31,69,42,46
88,31,19,75
32,27,76,45
10,43,38,20
15,26,12,96
73,86,66,89
89,66,42,97
38,47,97,98
13,81,65,49
50,98,54,63
53,30,61,63
65,64,8,34
38,80,76,100
35,13,65,65
92,27,96,30
100,10,44,40
79,86,93,99
36,41,51,57
78,34,76,36
48,61,46,30
21,41,66,26
36,93,9,65
23,75,55,1
54,19,88,70
100,93,37,31
13,27,28,17
57,10,67,85
14,67,39,62
94,96,43,84
7,80,69,44
69,8,93,52
91,90,39,22
32,20,87,50
95,33,63,99
54,98,50,63
3,67,15,79
31,74,26,2
49,64,59,12
30,98,59,83
91,14,89,56
18,46,12,26
44,20,91,6
60,5,51,99
24,92,84,9
92,87,74,7
44,100,8,94
95,47,37,95
78,17,29,1
22,90,16,20
49,34,85,100
27,57,81,33
91,95,35,24
14,43,65,88
62,29,40,62
69,37,1,1
87,29,71,66
82,39,17,24
80,8,59,55
91,79,51,79
44,13,68,90
64,46,98,31
27,79,27,18
62,68,47,65
100,38,29,86
92,92,99,48
20,85,73,65
82,30,23,60
52,54,63,73
83,88,59,83
99,26,35,12
28,88,91,1
8,69,80,46
99,46,40,10
61,25,95,26
28,78,38,94
7,77,15,7
84,29,83,60
85,11,6,60
55,44,74,37
69,32,25,35
87,46,85,44
48,54,45,74
91,9,79,40
57,56,86,84
92,1,80,35
89,15,88,50
75,45,18,53
77,37,42,87
59,99,14,56
21,59,73,23
53,66,69,19
22,96,61,40
83,28,22,79
24,73,10,66
87,18,58,79
54,82,6,17
31,32,84,32
85,31,67,99
17,82,3,57
54,49,53,44
28,92,57,50
36,2,46,64
53,72,8,33
73,73,62,5
42,71,52,66
1,66,96,99
88,76,34,24
79,65,30,85
1,92,89,26
59,4,43,83
12,85,59,4
94,15,39,91
60,50,51,83
63,62,52,44
100,65,27,56
70,85,91,6
10,37,2,3
42,48,95,70
81,88,57,86
80,38,84,44
21,73,37,86
86,72,76,41
71,58,15,60
1,14,97,61
84,76,76,75
7,72,91,36
87,93,55,76
7,52,84,5
59,86,84,89
42,28,18,22
73,94,29,19
94,20,60,16
68,29,1,19
60,18,1,71
35,30,14,55
85,4,37,67
76,4,10,68
56,43,94,87
28,11,14,7
91,96,18,33
37,96,74,10
58,15,76,76
11,61,40,47
100,34,61,74
100,92,30,6
81,17,26,21
66,79,89,23
33,82,31,9
7,39,32,28
70,30,86,95
23,47,97,45
60,78,24,4
11,1,41,17
16,54,38,34
96,53,25,80
48,35,49,9
83,73,22,39
39,92,36,60
15,76,31,90
3,49,55,37
25,47,37,80
3,8,68,52
2,66,21,88
82,88,95,98
